CURRENT INSTRUCTIONAL CYCLE SKELETON ,,,,,,,,,,,,,,,,,
"Baseline assessment (6 questions, 20 seconds per question average = 3-5 minutes)",,,,,,,,,,,,,,,,,
Level 1  (Grade 1/2 roughly),,,,,,,,,,,,,,,,,
Week 1 Session 1 ,Time ,Learning Outcome (general),Description and SK's critiques,L,,S,R,Rc,W,,Notes to Kannan ,,,,,,
Rhyme Time Instruction (same for 2 weeks),,To listen to focus words and identify them in the rhyme,Videos shows the focus words that  students will learn in the rhyme ,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,1. Writng/Tracing ,,,,,,
Rhyme Time Video (same for 2 weeks),,To listen to focus words and identify them in the rhyme,Actor will enact the rhyme with actions. L1 DOES NOT have lyrics. Ideally these should be added. Also focus words should be added in big when they appear. Currently missing. ,,,,,,,,"2. Eliminated TPR (Repeating Actions) Let us DO, Let us Write
3. 3 sessions per week, 3rd session to be revision, Revision not be passive 
4. Speaking? 
5. Where are we clearing misconceptions/struggle points? 
6. 1-0-1 assessment?
7. SEL Integration + Contextual (thematic)",,,,,,
(2 games) Game type 1 - Drag image over image,,Question in coloured button with audio of the name of the object and students drag the correct picture of the object to the question.,,,,,,,,,,,,,,,
(2 games) Game type 2  - Drag image over image,,The image of the object is added to the question and students drag the correct coloured-audio button of the name of the object to the question image.,,,,,,, ,,,,,,,,
(2 games)  Game type 3  - Tap and Speak ,,Students tap and say the name of the object shown in the picture.,,,,,,,,,,,,,,,
Story Time Video ,,To use focus words in correct context,"Chikku, Chinni, Lola, Lee animation videos uses the focus words in a relevant context. These videos are cost and effort intensive and made by Imperium ",,,,,,,,,,,,,,
(3 games) Game type 1  - Drag image over image,,Question has the video clip and options are images,,,,,,,,,,,,,,,
Sounds I Hear -2,,To identify beginning letter sounds ,The video covers words that starts with a common letter sound. The video DOES NOT cover phonics but ideally should have,,,,,,,,,,,,,,
(2 games) Game type 1 - Drag image over image,,Question has image of an object and students drag and drop the correct starting sound. ,Games letter sounds are often confusing as they cannot be heard properly. Also at this level there should be phonic awareness also. Can be built on top of phonemic awarenes but bypassing phonic entirely for L1 was not a good idea.  ,,,,,,,,SK is thinking....,,,,,,
(2 games) Game type 2 - Drag image over image,,Question has image of an object and students drag and drop another object that starts with same sound. ,,,,,,,,,Feels like the rhyme is overly repetitive and so is the Words I see part. ,,,,,,
(2 games) Game type 3  - Tap and Speak ,,Students tap and say the name of the object shown in the picture.,,,,,,,,,Revision willl be too passive unless we convert it into a game - of course assuming Revision may or may not happen. ,,,,,,
