,PROPOSED INSTRUCTIONAL CYCLE SKELETON ,,,,,,,,,,,,,
,Level 1  (Grade 1 ),Time ,Domain,Learning Outcome (general),Description ,Number Recognition,Counting & Cardinality,Comparing,Ordering,Place value,Addition,Subtraction,Multiplication,Division
,"Week 1
 Session 1 ",,,,,,,,,,,,,
,"1. Rhyme time
Introduction - Numbers 1 to 5",,Number Recognition,To associate number names with concrete objects/quantities.,"Number rhymes (1 to 5) with repeating words will be played 
Objects will pop up on the screen one by one based on each number.
First, students will listen to the song. Then, they will sing along.
Children will watch, listen, and say the numbers with the rhyme.",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,"Game 1 
Spot it",,Number Recognition,Students will be able to recognize and select written digits accurately based on audio cues.,"The screen is filled with scattered single digits where each number repeats several times. When the audio says ""Spot 3,"" the student must find and tap every instance (every single 3) shown on the screen.",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,"Game 2
Drag and drop",,Counting & Cardinality,To count objects and link them to the correct numeral.,"Objects will be shown; students need to count the objects, then drag and drop the correct numbers into the options.",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2. Story Time,2. Story Time,,,To associate number names with concrete objects/quantities.,"Using Chikku and Chinni, a hunting story will be played with visuals. Bundles of objects will be shown along with numbers 1 to 5.",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,"Game 1 
Pop the ballon",,Counting and Cardinality,To associate spoken number names with concrete quantities.,"A group of colorful balloons is displayed on the screen. When the audio calls out a number (e.g., ""4""), the student must tap and pop exactly that many balloons.",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,"Game 2
Drag and Fill",,Counting & Cardinality,represent a given number using a collection of objects,"Three baskets will be displayed with numbers like 3, 5, or 2. Students need to fill those baskets with that many roses from a plant or a big basket.",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,"Game 3
Match it",,Counting & Cardinality,one-to-one correspondence between pictures and numbers.,Pictures will be on one side and numbers on the other; students need to draw lines to match them.,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Arrange the numbers,"3. Missing Numbers
Arranging numbers in order. ",,,,A demo video will be played to show how to find and fill in missing numbers.,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
,"Game 1 
Number line",,Sequencing,To sequence numbers and identify missing numbers in a series.,"A horizontal number line is displayed with a few empty slots. Below the line, four fish-shaped cards containing different numbers are swimming. Students must identify the sequence of the number line and drag the correct fish into its matching missing spot",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Let us write,"4. Tracing  
Explanation video",,,,A demo will show how to trace numbers and where to start and end each number.,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,"Game 1
Trace ",,Number Formation,To master the correct formation and writing of numerals.,Students trace numbers on the screen using arrow guidance.,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,"
Week 1 
Session 2",,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,"1. Rhyme time
Introduction - Numbers 6 to 9",,,To associate number names with concrete objects/quantities.,"Number rhymes (6 to 9) with repeating words will be played 
Objects will pop up on the screen one by one based on each number.
First, students will listen to the song. Then, they will sing along.
Children will watch, listen, and say the numbers with the rhyme.",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,"Game 1 
Spot it",,Number Recognition,Students will be able to recognize and select written digits accurately based on audio cues.,"The screen is filled with scattered single digits where each number repeats several times. When the audio says ""Spot 7,"" the student must find and tap every instance (every single 7) shown on the screen.",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,"Game 2
Drag and drop",,Counting & Cardinality,To count objects and link them to the correct numeral.,"Objects will be shown; students need to count the objects, then drag and drop the correct numbers into the options.",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,2. Story Time,,,To associate number names with concrete objects/quantities.,"Using Chikku and Chinnu, a hunting story will be played with visuals. Bundles of objects will be shown along with numbers 6 to 9.",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
,"Game 1 
Pop the ballon",,Counting and Cardinality,To associate spoken number names with concrete quantities.,"A group of colorful balloons is displayed on the screen. When the audio calls out a number (e.g., ""4""), the student must tap and pop exactly that many balloons.",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
